rt,response,stim
nan,nan,2
2.7146371156618443,1.0,1
3.0990353463721476,0.0,3
nan,nan,4
3.237570394631348,1.0,1
nan,nan,1
2.8955944875942805,1.0,4
nan,nan,1
2.23479991511158,0.0,1
nan,nan,4
nan,nan,2
nan,nan,1
nan,nan,2
nan,nan,2
nan,nan,3
nan,nan,2
nan,nan,1
nan,nan,2
nan,nan,4
nan,nan,1
nan,nan,2
nan,nan,4
nan,nan,3
nan,nan,3
nan,nan,1
nan,nan,3
nan,nan,2
nan,nan,3
nan,nan,2
nan,nan,3
nan,nan,3
nan,nan,4
nan,nan,1
nan,nan,4
nan,nan,4
nan,nan,3
nan,nan,4
nan,nan,2
nan,nan,4
nan,nan,3
nan,nan,1
nan,nan,4
nan,nan,1
nan,nan,4
nan,nan,1
nan,nan,3
nan,nan,1
nan,nan,4
nan,nan,1
nan,nan,2
nan,nan,1
nan,nan,2
nan,nan,4
nan,nan,3
nan,nan,2
nan,nan,1
nan,nan,2
nan,nan,1
nan,nan,2
nan,nan,2
nan,nan,1
nan,nan,3
nan,nan,3
nan,nan,2
nan,nan,3
nan,nan,4
nan,nan,2
nan,nan,2
nan,nan,3
nan,nan,3
nan,nan,4
nan,nan,4
nan,nan,1
nan,nan,3
nan,nan,3
nan,nan,4
nan,nan,4
nan,nan,3
nan,nan,2
nan,nan,4
nan,nan,1
nan,nan,4
nan,nan,4
nan,nan,1
nan,nan,3
nan,nan,4
nan,nan,1
nan,nan,2
nan,nan,1
nan,nan,1
nan,nan,2
nan,nan,1
nan,nan,4
nan,nan,2
nan,nan,1
nan,nan,2
nan,nan,1
nan,nan,2
nan,nan,2
nan,nan,3
nan,nan,1
nan,nan,3
nan,nan,2
nan,nan,2
nan,nan,3
nan,nan,4
nan,nan,3
nan,nan,3
nan,nan,2
nan,nan,3
nan,nan,4
nan,nan,4
nan,nan,2
nan,nan,3
nan,nan,4
nan,nan,3
nan,nan,3
nan,nan,4
nan,nan,1
nan,nan,4
